title,link,description
What Happened on Day 51 of the War in Ukraine,https://www.nytimes.com/live/2022/04/15/world/ukraine-russia-war-news,Russia demanded that the U.S. halt shipment of advanced weapons to Ukraine. American officials said Russia’s Black Sea flagship had been sunk by Ukrainian missiles.
Clashes Erupt at Jerusalem Holy Site on Day With Overlapping Holidays,https://www.nytimes.com/live/2022/04/15/world/jerusalem-al-aqsa-mosque/al-aqsa-mosque-clashes,"Calm returned after more than 150 people were injured and hundreds were arrested by the Israeli police on Friday, when Ramadan, Easter and Passover coincided for the first time in thirty years."
A Soviet-Era Air Defense System Arrives in Ukraine From Slovakia,https://www.nytimes.com/2022/04/14/world/europe/ukraine-russia-nato-s300.html,"Encouraged by the United States, Slovakia “donated” a bulky but effective S-300, hoping to challenge Russian domination of the skies in the war next door."
Ukrainians Detail the Terror Russian Soldiers Have Inflicted Near Kyiv,https://www.nytimes.com/2022/04/15/world/europe/ukraine-russia-occupation.html,An ordeal at a mental health facility in Ukraine illuminated the horrors of the Russian occupation in the areas around Kyiv.
Why Ukraine War Crimes Trials Could Take Many Years,https://www.nytimes.com/2022/04/15/world/europe/ukraine-war-crimes-trials.html,"Long after the fighting ends, any prosecutions and trials arising from it could be barely beginning. Here is a look at the complexities of bringing aggressors to justice."
What Boris Johnson’s Deal With Rwanda Means for U.K. Asylum System,https://www.nytimes.com/2022/04/15/world/europe/britain-rwanda-asylum-explained.html,Prime Minister Boris Johnson announced a plan to send some of those seeking refuge to the central African country. What effect would the change have?
Jerusalem Calms After Israeli-Palestinian Clashes at Holy Site,https://www.nytimes.com/live/2022/04/15/world/jerusalem-al-aqsa-mosque,"Violence broke out at the Aqsa Mosque compound, known to Jews as the Temple Mount, in the morning on the first day of a rare convergence of Ramadan, Easter and Passover."
"Jerusalem Tattoo Artist Inks Pilgrims, Priests and Those Scarred by Conflict",https://www.nytimes.com/2022/04/15/world/middleeast/jerusalem-tattoo-artist.html,"For Wassim Razzouk, Holy Week is his busiest time as Christians seek a reminder of their visit to Jerusalem. But his family’s centuries-old tattoo business caters to all faiths."
"Faced With a Changed Europe, China Sticks to an Old Script",https://www.nytimes.com/2022/04/15/world/asia/china-europe-russia-ukraine.html,"Europe was viewed as lacking the power and the will to contest China’s rise. But now, a harder line toward Russia has implications for Beijing."
Tanzania’s First Female President Wants to Bring Her Nation in From the Cold,https://www.nytimes.com/2022/04/15/world/africa/tanzania-female-president.html,Samia Suluhu Hassan became the only female head of government in Africa when her predecessor suddenly died. She is setting a new course.
Families of U.K. Covid Victims React to Boris Johnson Fines,https://www.nytimes.com/2022/04/15/world/europe/boris-johnson-fines-covid-reactions.html,Those unable to be with dying loved ones find no satisfaction or closure with the penalty Prime Minister Boris Johnson faces for breaking lockdown rules.
Kim Jong-un Gives North Korean TV Anchor a Luxury Home,https://www.nytimes.com/2022/04/15/world/asia/kim-jong-un-ri-chun-hee-luxury-home.html,"Ri Chun-hee, who delivers the news with a soaring, bombastic tenor, received a two-story apartment in a riverside complex from the country’s leader, apparently for her loyalty."
Former French Colonies in Africa Demand a Reset,https://www.nytimes.com/2022/04/14/world/africa/france-macron-africa-colonies.html,"Decades after independence, many African countries are increasingly troubled by the ongoing influence of their former colonial power."
