title,link,description
Shanghai COVID lockdown threatens new export delays,https://www.dw.com/en/shanghai-covid-lockdown-threatens-new-export-delays/a-61557795?maca=en-rss-en-all-1573-rdf,Nearly a third of goods leaving the Port of Shanghai are held up due to a strict COVID lockdown. The delays are set to exacerbate a supply chain crisis that has caused shortages and price rises across the world.
World's biggest particle collider restarts after three-year break,https://www.dw.com/en/world-s-biggest-particle-collider-restarts-after-three-year-break/a-61563358?maca=en-rss-en-all-1573-rdf,The Large Hadron Collider has been restarted after a lengthy maintenance break. Upgrades will allow scientists to be able to smash protons into each other at greater speeds and collect more data.
Europe saw hottest summer on record in 2021,https://www.dw.com/en/europe-saw-hottest-summer-on-record-in-2021/a-61561679?maca=en-rss-en-all-1573-rdf,"Countries were hit with ""severe and long-lasting"" heat waves last summer, EU scientists have revealed in a new report. Experts believe the conditions contributed to wildfires and deadly flooding across Europe in 2021."
Mali: France says Russians buried bodies in smear effort,https://www.dw.com/en/mali-france-says-russians-buried-bodies-in-smear-effort/a-61562897?maca=en-rss-en-all-1573-rdf,The French military says it has filmed Russian mercenaries burying bodies near an army base in northern Mali. France says it suspects the operation was part of a disinformation campaign against its troops.
France elections: What you need to know,https://www.dw.com/en/france-elections-what-you-need-to-know/a-61561714?maca=en-rss-en-all-1573-rdf,Emmanuel Macron and Marine Le Pen are going head-to-head in runoff presidential elections on Sunday. Here's what you need to know.
Ukrainian refugees in Germany make Orthodox Easter unusually busy,https://www.dw.com/en/ukrainian-refugees-in-germany-make-orthodox-easter-unusually-busy/a-61561265?maca=en-rss-en-all-1573-rdf,"Hundreds of thousands of Ukrainians have fled to Germany from the war. This weekend, they will celebrate Easter with other Orthodox Christians, where denominational boundaries lose their significance in desperate times."
Let's talk about salt,https://www.dw.com/en/let-s-talk-about-salt/a-61560081?maca=en-rss-en-all-1573-rdf,Most people consume too much table salt — with potentially massive effects for their health. But it's possible to find a healthy balance.
"Writing despite war, exile and fear of death",https://www.dw.com/en/writing-despite-war-exile-and-fear-of-death/a-61557246?maca=en-rss-en-all-1573-rdf,"Violence and repression impacts writers physically and mentally, but inspires some to turn trauma into words. On World Book Day, DW presents authors from Ukraine, Belarus and Iraq who have written through hardship."
Kenya mourns former president Mwai Kibaki,https://www.dw.com/en/kenya-mourns-former-president-mwai-kibaki/a-61560998?maca=en-rss-en-all-1573-rdf,"Kenya's third president has died at the age of 90. Under Kibaki, the country experienced its bloodiest crisis but his legacy includes free schooling and a new constitution."
Macron or Le Pen: a tough choice for Africans in France,https://www.dw.com/en/macron-or-le-pen-a-tough-choice-for-africans-in-france/a-61559734?maca=en-rss-en-all-1573-rdf,Around 1 in 20 of France's population is of African origin. Many of them are citizens and thus eligible to vote in Sunday's presidential runoff. DW has checked in on the diaspora in and around Paris.
