titles,descriptions,links,pubDates
What Happened on Day 51 of the War in Ukraine ,Russia demanded that the U.S. halt shipment of advanced weapons to Ukraine. American officials said Russia's Black Sea flagship had been sunk by Ukrainian missiles. ,https://www.nytimes.com/live/2022/04/15/world/ukraine-russia-war-news ,"Sat, 16 Apr 2022 05:02:24 +0000 "
Clashes Erupt at Jerusalem Holy Site on Day With Overlapping Holidays ,"Calm returned after more than 150 people were injured and hundreds were arrested by the Israeli police on Friday, when Ramadan, Easter and Passover coincided for the first time in thirty years. ",https://www.nytimes.com/live/2022/04/15/world/jerusalem-al-aqsa-mosque/al-aqsa-mosque-clashes ,"Sat, 16 Apr 2022 02:12:47 +0000 "
A Soviet-Era Air Defense System Arrives in Ukraine From Slovakia ,"Encouraged by the United States, Slovakia “donated” a bulky but effective S-300, hoping to challenge Russian domination of the skies in the war next door. ",https://www.nytimes.com/2022/04/14/world/europe/ukraine-russia-nato-s300.html ,"Fri, 15 Apr 2022 17:20:07 +0000 "
Ukrainians Detail the Terror Russian Soldiers Have Inflicted Near Kyiv ,An ordeal at a mental health facility in Ukraine illuminated the horrors of the Russian occupation in the areas around Kyiv. ,https://www.nytimes.com/2022/04/15/world/europe/ukraine-russia-occupation.html ,"Sat, 16 Apr 2022 03:31:03 +0000 "
Why Ukraine War Crimes Trials Could Take Many Years ,"Long after the fighting ends, any prosecutions and trials arising from it could be barely beginning. Here is a look at the complexities of bringing aggressors to justice. ",https://www.nytimes.com/2022/04/15/world/europe/ukraine-war-crimes-trials.html ,"Fri, 15 Apr 2022 18:54:02 +0000 "
What Boris Johnson's Deal With Rwanda Means for U.K. Asylum System ,Prime Minister Boris Johnson announced a plan to send some of those seeking refuge to the central African country. What effect would the change have? ,https://www.nytimes.com/2022/04/15/world/europe/britain-rwanda-asylum-explained.html ,"Fri, 15 Apr 2022 15:38:17 +0000 "
Jerusalem Calms After Israeli-Palestinian Clashes at Holy Site ,"Violence broke out at the Aqsa Mosque compound, known to Jews as the Temple Mount, in the morning on the first day of a rare convergence of Ramadan, Easter and Passover. ",https://www.nytimes.com/live/2022/04/15/world/jerusalem-al-aqsa-mosque ,"Sat, 16 Apr 2022 03:01:48 +0000 "
"Jerusalem Tattoo Artist Inks Pilgrims, Priests and Those Scarred by Conflict ","For Wassim Razzouk, Holy Week is his busiest time as Christians seek a reminder of their visit to Jerusalem. But his family's centuries-old tattoo business caters to all faiths. ",https://www.nytimes.com/2022/04/15/world/middleeast/jerusalem-tattoo-artist.html ,"Fri, 15 Apr 2022 21:28:36 +0000 "
"Faced With a Changed Europe, China Sticks to an Old Script ","Europe was viewed as lacking the power and the will to contest China's rise. But now, a harder line toward Russia has implications for Beijing. ",https://www.nytimes.com/2022/04/15/world/asia/china-europe-russia-ukraine.html ,"Fri, 15 Apr 2022 21:15:21 +0000 "
Tanzania's First Female President Wants to Bring Her Nation in From the Cold ,Samia Suluhu Hassan became the only female head of government in Africa when her predecessor suddenly died. She is setting a new course. ,https://www.nytimes.com/2022/04/15/world/africa/tanzania-female-president.html ,"Fri, 15 Apr 2022 21:22:51 +0000 "
Families of U.K. Covid Victims React to Boris Johnson Fines ,Those unable to be with dying loved ones find no satisfaction or closure with the penalty Prime Minister Boris Johnson faces for breaking lockdown rules. ,https://www.nytimes.com/2022/04/15/world/europe/boris-johnson-fines-covid-reactions.html ,"Fri, 15 Apr 2022 14:44:25 +0000 "
Kim Jong-un Gives North Korean TV Anchor a Luxury Home ,"Ri Chun-hee, who delivers the news with a soaring, bombastic tenor, received a two-story apartment in a riverside complex from the country's leader, apparently for her loyalty. ",https://www.nytimes.com/2022/04/15/world/asia/kim-jong-un-ri-chun-hee-luxury-home.html ,"Fri, 15 Apr 2022 14:26:13 +0000 "
Former French Colonies in Africa Demand a Reset ,"Decades after independence, many African countries are increasingly troubled by the ongoing influence of their former colonial power. ",https://www.nytimes.com/2022/04/14/world/africa/france-macron-africa-colonies.html ,"Fri, 15 Apr 2022 02:48:11 +0000 "
U.K. Plans to Send Some Asylum Seekers to Rwanda ,"Britain says it will fly many refugees thousands of miles to the central African country for processing and resettlement, a significant hardening of migration policy. ",https://www.nytimes.com/2022/04/14/world/europe/uk-rwanda-asylum-seekers.html ,"Fri, 15 Apr 2022 02:25:23 +0000 "
"Moskva, Russia's Prized Ship, Was Hit by Missiles, U.S. Officials Say ",The sinking of the Moskva was a major blow to the Russian fleet and the most significant combat loss for any navy in decades. ,https://www.nytimes.com/2022/04/15/us/politics/russia-moskva-ship-sunk-ukraine.html ,"Sat, 16 Apr 2022 00:51:04 +0000 "
"Girding for New Battle, Russia Warns U.S. on Advanced Weapons for Ukraine ",The warnings were regarded as a sign that American military assistance to Ukraine was compounding problems for the Russians in their two-month-old invasion. ,https://www.nytimes.com/2022/04/15/world/europe/ukraine-russia-us-weapons-warning.html ,"Fri, 15 Apr 2022 23:26:29 +0000 "
Biden Plans to Open More Public Land to Drilling ,"The president is under pressure to bring down gas prices, but any new drilling would be years away. The fees that companies pay would rise sharply. ",https://www.nytimes.com/2022/04/15/climate/biden-drilling-oil-leases.html ,"Fri, 15 Apr 2022 21:56:31 +0000 "
"Days After Ouster, Imran Khan Is Back on the Trail in Pakistan ","With fiery critiques of his rivals and the U.S., the former prime minister has drawn thousands to rallies across Pakistan and stoked fears of more political turmoil. ",https://www.nytimes.com/2022/04/15/world/asia/imran-khan-rally-pakistan.html ,"Fri, 15 Apr 2022 19:40:09 +0000 "
How Russian Media Uses Fox News to Make Its Case ,The conservative network has appeared hundreds of times in Russian media. ,https://www.nytimes.com/2022/04/15/technology/russia-media-fox-news.html ,"Sat, 16 Apr 2022 01:43:17 +0000 "
"Russia's Sunken Warship Moskva Was Hit by Ukrainian Missiles, U.S. official says ","Moscow claimed the sinking was an accident, but U.S. intelligence reports say the cruiser went down after Ukraine struck it with Neptune missiles. ",https://www.nytimes.com/2022/04/15/world/europe/russia-moskva-warship-ukraine-missiles.html ,"Fri, 15 Apr 2022 20:39:58 +0000 "
How Russian Disinformation Spreads Beyond Its Borders ,A New York Times' video team traveled to the breakaway region of Transnistria to find out what residents there believe about the war in Ukraine. ,https://www.nytimes.com/2022/04/15/world/europe/russia-disinformation-transnistria.html ,"Fri, 15 Apr 2022 13:25:42 +0000 "
Shanghai's Isolation Facilities Have Prompted a Backlash ,Hundreds of thousands of Shanghai residents have been sent to quarantine and isolation facilities. One woman described her ordeal. ,https://www.nytimes.com/2022/04/15/world/asia/shanghai-covid-isolation-quarantine.html ,"Fri, 15 Apr 2022 22:13:24 +0000 "
Quiz Time on the Campaign Trail ,"Several “gotcha” questions for candidates, including one that Anthony Albanese got wrong, raise deeper questions about the quality of the nation's political discourse. ",https://www.nytimes.com/2022/04/15/world/australia/quiz-time-on-the-campaign-trail.html ,"Fri, 15 Apr 2022 11:22:47 +0000 "
Amazon vs. the Union ,The company and its new union share the same problem. ,https://www.nytimes.com/2022/04/15/briefing/amazon-union-warehouse.html ,"Fri, 15 Apr 2022 10:11:37 +0000 "
