title,link,description
Ukraine war: Russia 'plans to seize southern Ukraine',https://www.bbc.co.uk/news/world-europe-61188943?at_medium=RSS&at_campaign=KARANGA,"A senior general says the aim is to open a route into a separatist region of Moldova, Transnistria."
Ukraine war: The Russia I knew no longer exists - Steve Rosenberg,https://www.bbc.co.uk/news/world-europe-61188783?at_medium=RSS&at_campaign=KARANGA,The BBC's Steve Rosenberg takes in the sites of Moscow apparently distorted by the war against Ukraine.
Afghanistan: Kunduz mosque attacked during Friday prayers,https://www.bbc.co.uk/news/world-asia-61191643?at_medium=RSS&at_campaign=KARANGA,The deadly explosion comes amid a revival of violence claimed by Islamic State militants.
Gun deaths were the leading killer of US children in 2020,https://www.bbc.co.uk/news/world-us-canada-61192975?at_medium=RSS&at_campaign=KARANGA,Guns have overtaken car crashes as the leading cause of death among young Americans.
Imran Khan: Inside the huge rally in Lahore for Pakistan's ousted PM,https://www.bbc.co.uk/news/world-asia-61189745?at_medium=RSS&at_campaign=KARANGA,The former prime minister's narrative of a US-led conspiracy to oust him is resonating with his supporters.
Mike Tyson punched plane passenger 'after bottle thrown',https://www.bbc.co.uk/news/world-us-canada-61192417?at_medium=RSS&at_campaign=KARANGA,Video shows the former heavyweight boxer repeatedly punching a man in the head.
#JusticeForSheila: Kenyan anger after lesbian's murder,https://www.bbc.co.uk/news/world-africa-61192594?at_medium=RSS&at_campaign=KARANGA,People in Kenyan are expressing their upset about LGBTQ discrimination after
Mariupol steelworks: 'We have wounded and dead inside the bunkers',https://www.bbc.co.uk/news/world-europe-61183062?at_medium=RSS&at_campaign=KARANGA,One of the last defenders in Mariupol tells the BBC conditions are dire but they won't surrender.
Shanghai escalates Covid lockdown restrictions,https://www.bbc.co.uk/news/world-asia-china-61137649?at_medium=RSS&at_campaign=KARANGA,The latest measures will include placing door alarms to prevent those infected from leaving.
Jerusalem holy site clashes fuel fears of return to war,https://www.bbc.co.uk/news/world-middle-east-61154373?at_medium=RSS&at_campaign=KARANGA,Tensions are high following several days of violence in and around the al-Aqsa Mosque compound.
Johnny Depp and Amber Heard face off in court,https://www.bbc.co.uk/news/world-us-canada-61156743?at_medium=RSS&at_campaign=KARANGA,"Depp says she stubbed a cigarette on his face. The court sees a Depp text saying: ""Lets burn Amber!!!"""
Mwai Kibaki: Kenya's first opposition president dies aged 90,https://www.bbc.co.uk/news/world-africa-61188963?at_medium=RSS&at_campaign=KARANGA,Mwai Kibaki ended 40 years of one-party rule but his 2007 re-election sparked nationwide violence.
Kenya's Mwai Kibaki: The hope and disappointment,https://www.bbc.co.uk/news/world-africa-61191761?at_medium=RSS&at_campaign=KARANGA,Ex-Kenyan President Mwai Kibaki is remembered for ending the stranglehold of the former ruling party.
Mariupol: Driving into the 'apocalypse' to save mum and dad,https://www.bbc.co.uk/news/world-europe-61178199?at_medium=RSS&at_campaign=KARANGA,How a young Ukrainian woman travelled into the besieged city of Mariupol to save her parents.
Africa's week in pictures: 15-21 April 2022,https://www.bbc.co.uk/news/world-africa-61173922?at_medium=RSS&at_campaign=KARANGA,A selection of the best photos from across Africa and beyond this week.
Mid-day meal plan struggles to feed India's hungry students,https://www.bbc.co.uk/news/world-asia-india-61162642?at_medium=RSS&at_campaign=KARANGA,"The world's most ambitious free school food programme resumes post pandemic, but problems remain."
Why Argentina is embracing cryptocurrency,https://www.bbc.co.uk/news/business-60912789?at_medium=RSS&at_campaign=KARANGA,The nation that has seen economic trauma is open to the possibility of alternative money like Bitcoin.
What weapons has the US given Ukraine - and how much do they help?,https://www.bbc.co.uk/news/world-us-canada-60774098?at_medium=RSS&at_campaign=KARANGA,President Biden has announced a new $800m assistance package that includes ammunition and drones.
Ukraine war: Inside Kyiv's trench defences,https://www.bbc.co.uk/news/world-europe-61191111?at_medium=RSS&at_campaign=KARANGA,"Kyiv's defence force remains on high alert, dug into trenches in case of the return of Russian troops."
Khodorkovsky: Oil ban would deal Putin ‘very serious blow’,https://www.bbc.co.uk/news/world-europe-61187658?at_medium=RSS&at_campaign=KARANGA,Exiled Russian tycoon says oil embargo could halve country’s cash and damage Putin’s war capability.
The German towns in Paraguay with a surge in European immigrants,https://www.bbc.co.uk/news/world-latin-america-61184479?at_medium=RSS&at_campaign=KARANGA,Thousands of German nationals have migrated to Paraguay to escape Covid restrictions and immigration in Europe.
France election: What far-right leader Marine Le Pen said before… and now,https://www.bbc.co.uk/news/world-europe-61168776?at_medium=RSS&at_campaign=KARANGA,"Has Marine Le Pen's strong views on immigration, the EU and Nato shifted since the last election?"
Ukrainians injured or killed by unexploded ammunition,https://www.bbc.co.uk/news/world-europe-61181978?at_medium=RSS&at_campaign=KARANGA,"Across Ukraine’s Kyiv region, efforts have begun to clear the countless pieces of unexploded ammunition left behind after fierce fighting."
Shanghai COVID lockdown threatens new export delays,https://www.dw.com/en/shanghai-covid-lockdown-threatens-new-export-delays/a-61557795?maca=en-rss-en-all-1573-rdf,Nearly a third of goods leaving the Port of Shanghai are held up due to a strict COVID lockdown. The delays are set to exacerbate a supply chain crisis that has caused shortages and price rises across the world.
World's biggest particle collider restarts after three-year break,https://www.dw.com/en/world-s-biggest-particle-collider-restarts-after-three-year-break/a-61563358?maca=en-rss-en-all-1573-rdf,The Large Hadron Collider has been restarted after a lengthy maintenance break. Upgrades will allow scientists to be able to smash protons into each other at greater speeds and collect more data.
Europe saw hottest summer on record in 2021,https://www.dw.com/en/europe-saw-hottest-summer-on-record-in-2021/a-61561679?maca=en-rss-en-all-1573-rdf,"Countries were hit with ""severe and long-lasting"" heat waves last summer, EU scientists have revealed in a new report. Experts believe the conditions contributed to wildfires and deadly flooding across Europe in 2021."
Mali: France says Russians buried bodies in smear effort,https://www.dw.com/en/mali-france-says-russians-buried-bodies-in-smear-effort/a-61562897?maca=en-rss-en-all-1573-rdf,The French military says it has filmed Russian mercenaries burying bodies near an army base in northern Mali. France says it suspects the operation was part of a disinformation campaign against its troops.
France elections: What you need to know,https://www.dw.com/en/france-elections-what-you-need-to-know/a-61561714?maca=en-rss-en-all-1573-rdf,Emmanuel Macron and Marine Le Pen are going head-to-head in runoff presidential elections on Sunday. Here's what you need to know.
Ukrainian refugees in Germany make Orthodox Easter unusually busy,https://www.dw.com/en/ukrainian-refugees-in-germany-make-orthodox-easter-unusually-busy/a-61561265?maca=en-rss-en-all-1573-rdf,"Hundreds of thousands of Ukrainians have fled to Germany from the war. This weekend, they will celebrate Easter with other Orthodox Christians, where denominational boundaries lose their significance in desperate times."
Let's talk about salt,https://www.dw.com/en/let-s-talk-about-salt/a-61560081?maca=en-rss-en-all-1573-rdf,Most people consume too much table salt — with potentially massive effects for their health. But it's possible to find a healthy balance.
"Writing despite war, exile and fear of death",https://www.dw.com/en/writing-despite-war-exile-and-fear-of-death/a-61557246?maca=en-rss-en-all-1573-rdf,"Violence and repression impacts writers physically and mentally, but inspires some to turn trauma into words. On World Book Day, DW presents authors from Ukraine, Belarus and Iraq who have written through hardship."
Kenya mourns former president Mwai Kibaki,https://www.dw.com/en/kenya-mourns-former-president-mwai-kibaki/a-61560998?maca=en-rss-en-all-1573-rdf,"Kenya's third president has died at the age of 90. Under Kibaki, the country experienced its bloodiest crisis but his legacy includes free schooling and a new constitution."
Macron or Le Pen: a tough choice for Africans in France,https://www.dw.com/en/macron-or-le-pen-a-tough-choice-for-africans-in-france/a-61559734?maca=en-rss-en-all-1573-rdf,Around 1 in 20 of France's population is of African origin. Many of them are citizens and thus eligible to vote in Sunday's presidential runoff. DW has checked in on the diaspora in and around Paris.
"France: Voters face difficult choice between Macron, Le Pen",https://www.dw.com/en/france-voters-face-difficult-choice-between-macron-le-pen/a-61551006?maca=en-rss-en-all-1573-rdf,"Going into Sunday's winner-takes-all runoff vote, French President Emmanuel Macron is leading several polls. But nationalist Marine Le Pen is not far behind. Both are hoping to woo undecided leftist voters."
So you want to live forever?,https://www.dw.com/en/so-you-want-to-live-forever/a-61556152?maca=en-rss-en-all-1573-rdf,"Spoiler: You probably won't be able to live forever, even if you want to. How about settling for a life free from age-related ailments like Alzheimer's or arthritis instead?"
Vive la France!,https://www.dw.com/en/vive-la-france/a-19329296?maca=en-rss-en-all-1573-rdf,"On July 14, the French celebrate their national day, which commemorates the storming of the Bastille, the symbolic start of the French Revolution in 1789. We join the festivities with a pictorial trip through France."
Turkey: Trial of jailed philanthropist Osman Kavala nears end,https://www.dw.com/en/turkey-trial-of-jailed-philanthropist-osman-kavala-nears-end/a-61557455?maca=en-rss-en-all-1573-rdf,An Istanbul court has been hearing the final statements in a long-running case against Turkish entrepreneur Osman Kavala.
He made psychopaths cult: Jack Nicholson turns 85,https://www.dw.com/en/he-made-psychopaths-cult-jack-nicholson-turns-85/a-38531647?maca=en-rss-en-all-1573-rdf,"""Easy Rider,"" ""Chinatown,"" ""The Shining,"" ""Batman"" and more ... As Jack Nicholson celebrates his 85th birthday on April 22, here's a look back at some of the superstar's numerous iconic roles."
Germany's Baerbock calls for stronger NATO strategy in Baltics,https://www.dw.com/en/germany-s-baerbock-calls-for-stronger-nato-strategy-in-baltics/a-61557467?maca=en-rss-en-all-1573-rdf,"The German foreign minister has wrapped up a Baltic tour in Lithuania saying Germany is ready to send more troops to the region to deter Russian aggression, calling the current response level concerning."
Why isn't ​Germany supplying Ukraine with heavy weapons?,https://www.dw.com/en/why-isn-t-​germany-supplying-ukraine-with-heavy-weapons/a-61553273?maca=en-rss-en-all-1573-rdf,The criticism against German Chancellor Olaf Scholz has been unrelenting. He's been accused of stalling and breaking his promises over sending heavy weapons to Ukraine. DW looks at some of the main points of contention.
"COVID: In a crowd of unmasked people, can a mask still protect you?",https://www.dw.com/en/covid-in-a-crowd-of-unmasked-people-can-a-mask-still-protect-you/a-61544150?maca=en-rss-en-all-1573-rdf,"Many countries around the world are easing mask mandates. If no one else is masking up, should you?"
